"Game Date","DOW","Home Team","Score","Away Team","Score",".","Att."
02/21/13,"Thu.","Philadelphia",2,"Florida",5,,19605
02/21/13,"Thu.","Washington",2,"New Jersey",3,,18506
02/21/13,"Thu.","Edmonton",1,"Minnesota",3,,16839
02/21/13,"Thu.","Montreal",3,"NY Islanders",4,"OT",21273
02/21/13,"Thu.","Ottawa",3,"NY Rangers",2,"SO",19076
02/21/13,"Thu.","Dallas",3,"Vancouver",4,,17393
02/21/13,"Thu.","Toronto",3,"Buffalo",1,,19473
02/21/13,"Thu.","Tampa Bay",2,"Boston",4,,19204
02/21/13,"Thu.","Carolina",3,"Winnipeg",4,,18282
02/22/13,"Fri.","Pittsburgh",3,"Florida",1,,18655
02/22/13,"Fri.","Nashville",0,"Vancouver",1,,17113
02/22/13,"Fri.","Chicago",2,"San Jose",1,,21670
02/23/13,"Sat.","St. Louis",2,"Columbus",1,,19457
02/23/13,"Sat.","Los Angeles",4,"Colorado",1,,18118
02/23/13,"Sat.","Washington",5,"New Jersey",1,,18506
02/23/13,"Sat.","Detroit",4,"Nashville",0,,20066
02/23/13,"Sat.","Calgary",3,"Minnesota",1,,19289
02/23/13,"Sat.","Buffalo",0,"NY Islanders",4,,19070
02/23/13,"Sat.","Montreal",3,"NY Rangers",0,,21273
02/23/13,"Sat.","Philadelphia",5,"Winnipeg",3,,19933
02/23/13,"Sat.","Carolina",2,"Tampa Bay",5,,18680
02/23/13,"Sat.","Ottawa",3,"Toronto",2,,19499
02/23/13,"Sat.","Dallas",3,"San Jose",1,,18584
02/23/13,"Sat.","Edmonton",3,"Phoenix",2,"SO",16839
02/24/13,"Sun.","NY Islanders",2,"Carolina",4,,10048
02/24/13,"Sun.","Chicago",1,"Columbus",0,,21580
02/24/13,"Sun.","Anaheim",4,"Colorado",3,"OT",17174
02/24/13,"Sun.","Calgary",5,"Phoenix",4,,19289
02/24/13,"Sun.","Detroit",8,"Vancouver",3,,20066
02/24/13,"Sun.","Florida",1,"Boston",4,,18108
02/24/13,"Sun.","Pittsburgh",5,"Tampa Bay",3,,18632
02/24/13,"Sun.","New Jersey",2,"Winnipeg",4,,17625
02/25/13,"Mon.","Chicago",3,"Edmonton",2,"OT",21127
02/25/13,"Mon.","Nashville",5,"Dallas",4,"OT",17113
02/25/13,"Mon.","Ottawa",2,"Montreal",1,"SO",19218
02/25/13,"Mon.","Los Angeles",5,"Anaheim",2,,18118
02/25/13,"Mon.","Philadelphia",2,"Toronto",4,,19645
02/26/13,"Tue.","Washington",3,"Carolina",0,,18506
02/26/13,"Tue.","San Jose",3,"Colorado",2,"SO",17562
02/26/13,"Tue.","Columbus",4,"Dallas",5,"OT",11523
02/26/13,"Tue.","Florida",6,"Pittsburgh",4,,17378
02/26/13,"Tue.","Vancouver",2,"Phoenix",4,,18910
02/26/13,"Tue.","Minnesota",2,"Calgary",1,"OT",18703
02/26/13,"Tue.","Tampa Bay",1,"Buffalo",2,,19204
02/26/13,"Tue.","NY Islanders",1,"Boston",4,,12788
02/26/13,"Tue.","NY Rangers",3,"Winnipeg",4,,17200
02/27/13,"Wed.","Los Angeles",2,"Detroit",1,,18118
02/27/13,"Wed.","Anaheim",5,"Nashville",1,,13630
02/27/13,"Wed.","Toronto",2,"Montreal",5,,19625
02/27/13,"Wed.","Philadelphia",4,"Washington",1,,19904
02/28/13,"Thu.","St. Louis",0,"Chicago",3,,19533
02/28/13,"Thu.","Dallas",1,"Edmonton",5,,17004
02/28/13,"Thu.","San Jose",1,"Detroit",2,"SO",17562
02/28/13,"Thu.","Winnipeg",3,"New Jersey",1,,15004
02/28/13,"Thu.","Phoenix",3,"Minnesota",4,,11547
02/28/13,"Thu.","Boston",2,"Ottawa",1,"OT",17565
02/28/13,"Thu.","Carolina",4,"Pittsburgh",1,,18680
02/28/13,"Thu.","Colorado",5,"Calgary",4,,15197
02/28/13,"Thu.","Florida",3,"Buffalo",4,"SO",15672
02/28/13,"Thu.","NY Islanders",4,"Toronto",5,"OT",9222
02/28/13,"Thu.","NY Rangers",4,"Tampa Bay",1,,17200
03/01/13,"Fri.","Chicago",4,"Columbus",3,"OT",21828
03/01/13,"Fri.","St. Louis",4,"Edmonton",2,,19476
03/01/13,"Fri.","Anaheim",3,"Minnesota",2,,15264
03/02/13,"Sat.","Carolina",6,"Florida",2,,18680
03/02/13,"Sat.","San Jose",2,"Nashville",1,,17562
03/02/13,"Sat.","Vancouver",5,"Los Angeles",2,,18910
03/02/13,"Sat.","Buffalo",4,"New Jersey",3,"SO",19070
03/02/13,"Sat.","Philadelphia",2,"Ottawa",1,,19959
03/02/13,"Sat.","Montreal",6,"Pittsburgh",7,"OT",21273
03/02/13,"Sat.","Phoenix",5,"Anaheim",4,"SO",15227
03/02/13,"Sat.","Boston",3,"Tampa Bay",2,,17565
03/02/13,"Sat.","Winnipeg",0,"Washington",3,,15004
03/03/13,"Sun.","Florida",2,"Carolina",3,,15978
03/03/13,"Sun.","Detroit",1,"Chicago",2,"SO",20066
03/03/13,"Sun.","Columbus",2,"Colorado",1,"OT",13778
03/03/13,"Sun.","Minnesota",4,"Edmonton",2,,18675
03/03/13,"Sun.","Boston",3,"Montreal",4,,17565
03/03/13,"Sun.","NY Islanders",3,"Ottawa",2,"SO",13512
03/03/13,"Sun.","Calgary",4,"Vancouver",2,,19289
03/03/13,"Sun.","NY Rangers",3,"Buffalo",2,"SO",17200
03/03/13,"Sun.","Dallas",4,"St. Louis",1,,16663
03/04/13,"Mon.","Los Angeles",5,"Nashville",1,,18118
03/04/13,"Mon.","Toronto",4,"New Jersey",2,,19435
03/04/13,"Mon.","Phoenix",5,"Anaheim",4,"SO",11024
03/04/13,"Mon.","Pittsburgh",4,"Tampa Bay",3,,18656
03/05/13,"Tue.","Detroit",2,"Colorado",1,,20066
03/05/13,"Tue.","Columbus",4,"Edmonton",3,"SO",14952
03/05/13,"Tue.","NY Islanders",6,"Montreal",3,,9498
03/05/13,"Tue.","Chicago",5,"Minnesota",3,,21836
03/05/13,"Tue.","NY Rangers",4,"Philadelphia",2,,17200
03/05/13,"Tue.","Carolina",4,"Buffalo",3,,15277
03/05/13,"Tue.","Washington",4,"Boston",3,"OT",18506
03/05/13,"Tue.","Los Angeles",6,"St. Louis",4,,18118
03/05/13,"Tue.","Vancouver",2,"San Jose",3,"SO",18910
03/05/13,"Tue.","New Jersey",2,"Tampa Bay",5,,15229
03/05/13,"Tue.","Florida",4,"Winnipeg",1,,14574
03/06/13,"Wed.","Chicago",3,"Colorado",2,,21531
03/06/13,"Wed.","Toronto",5,"Ottawa",4,,19412
03/06/13,"Wed.","Anaheim",2,"Phoenix",0,,13456
03/06/13,"Wed.","Calgary",4,"San Jose",1,,19289
03/07/13,"Thu.","Los Angeles",2,"Dallas",5,,18118
03/07/13,"Thu.","Washington",7,"Florida",1,,18506
03/07/13,"Thu.","Detroit",3,"Edmonton",0,,20066
03/07/13,"Thu.","Carolina",2,"Montreal",4,,16774
03/07/13,"Thu.","NY Islanders",1,"NY Rangers",2,"OT",16170
03/07/13,"Thu.","Columbus",2,"Vancouver",1,"OT",13632
03/07/13,"Thu.","New Jersey",3,"Buffalo",2,"SO",17625
03/07/13,"Thu.","Phoenix",3,"St. Louis",6,,11482
03/07/13,"Thu.","Philadelphia",4,"Pittsburgh",5,,19997
03/07/13,"Thu.","Boston",4,"Toronto",2,,17565
03/07/13,"Thu.","Tampa Bay",1,"Winnipeg",2,,19204
03/08/13,"Fri.","Colorado",6,"Chicago",2,,18007
03/08/13,"Fri.","Nashville",6,"Edmonton",0,,17277
03/08/13,"Fri.","NY Rangers",2,"Ottawa",3,,17200
03/08/13,"Fri.","Anaheim",4,"Calgary",0,,15839
03/08/13,"Fri.","Florida",2,"Winnipeg",3,"OT",16442
03/09/13,"Sat.","Columbus",3,"Detroit",0,,17957
03/09/13,"Sat.","Phoenix",2,"Dallas",1,,15842
03/09/13,"Sat.","Tampa Bay",3,"Montreal",4,,19204
03/09/13,"Sat.","Nashville",1,"Minnesota",2,"SO",17113
03/09/13,"Sat.","Carolina",6,"New Jersey",3,,18680
03/09/13,"Sat.","Boston",3,"Philadelphia",0,,17565
03/09/13,"Sat.","Los Angeles",6,"Calgary",2,,18248
03/09/13,"Sat.","San Jose",3,"St. Louis",4,"OT",17562
03/09/13,"Sat.","Toronto",4,"Pittsburgh",5,"SO",19418
03/09/13,"Sat.","NY Islanders",5,"Washington",2,,14819
03/10/13,"Sun.","Washington",1,"NY Rangers",4,,18506
03/10/13,"Sun.","Florida",2,"Montreal",5,,19189
03/10/13,"Sun.","Chicago",5,"Edmonton",6,,22020
03/10/13,"Sun.","Detroit",2,"Columbus",3,"SO",20066
03/10/13,"Sun.","Pittsburgh",6,"NY Islanders",1,,18634
03/10/13,"Sun.","Minnesota",4,"Vancouver",2,,18846
03/10/13,"Sun.","Philadelphia",3,"Buffalo",2,,19687
03/10/13,"Sun.","Anaheim",4,"St. Louis",2,,17174
03/10/13,"Sun.","Colorado",3,"San Jose",2,"OT",16040
03/10/13,"Sun.","New Jersey",3,"Winnipeg",2,"SO",17625
03/11/13,"Mon.","Los Angeles",3,"Calgary",1,,18118
03/11/13,"Mon.","Ottawa",2,"Boston",3,"SO",20256
03/12/13,"Tue.","Washington",0,"Carolina",4,,18506
03/12/13,"Tue.","Colorado",0,"Edmonton",4,,14360
03/12/13,"Tue.","Dallas",0,"Nashville",4,,15661
03/12/13,"Tue.","Phoenix",5,"Los Angeles",2,,15075
03/12/13,"Tue.","Buffalo",3,"NY Rangers",1,,19070
03/12/13,"Tue.","Columbus",1,"Vancouver",2,"SO",14852
03/12/13,"Tue.","Pittsburgh",3,"Boston",2,,18640
03/12/13,"Tue.","Minnesota",1,"Anaheim",2,,18808
03/12/13,"Tue.","St. Louis",4,"San Jose",2,,16583
03/12/13,"Tue.","Winnipeg",5,"Toronto",2,,15004
03/12/13,"Tue.","Florida",2,"Tampa Bay",3,,15174
03/13/13,"Wed.","Calgary",5,"Detroit",2,,19289
03/13/13,"Wed.","Montreal",4,"Ottawa",3,"SO",21273
03/13/13,"Wed.","New Jersey",5,"Philadelphia",2,,17625
03/14/13,"Thu.","Columbus",1,"Chicago",2,"SO",15009
03/14/13,"Thu.","Minnesota",5,"Colorado",3,,18989
03/14/13,"Thu.","Boston",4,"Florida",1,,17565
03/14/13,"Thu.","Vancouver",7,"Nashville",4,,18910
03/14/13,"Thu.","San Jose",4,"Los Angeles",3,,17562
03/14/13,"Thu.","Winnipeg",3,"NY Rangers",1,,15004
03/14/13,"Thu.","Tampa Bay",0,"NY Islanders",2,,19204
03/14/13,"Thu.","St. Louis",3,"Phoenix",0,,17852
03/14/13,"Thu.","Dallas",1,"Anaheim",2,"SO",15775
03/14/13,"Thu.","Toronto",1,"Pittsburgh",3,,19561
03/14/13,"Thu.","Carolina",2,"Washington",3,,16810
03/15/13,"Fri.","Edmonton",2,"Detroit",3,"OT",16839
03/15/13,"Fri.","Calgary",6,"Nashville",3,,19289
03/15/13,"Fri.","Philadelphia",2,"New Jersey",1,"SO",19971
03/16/13,"Sat.","Tampa Bay",4,"Carolina",1,,19204
03/16/13,"Sat.","Dallas",1,"Chicago",8,,18584
03/16/13,"Sat.","Vancouver",2,"Detroit",5,,18910
03/16/13,"Sat.","New Jersey",1,"Montreal",2,,17625
03/16/13,"Sat.","Colorado",4,"Minnesota",6,,17708
03/16/13,"Sat.","Buffalo",3,"Ottawa",4,"OT",19070
03/16/13,"Sat.","Pittsburgh",3,"NY Rangers",0,,18658
03/16/13,"Sat.","Florida",3,"NY Islanders",4,,17627
03/16/13,"Sat.","Columbus",1,"Phoenix",0,"SO",14231
03/16/13,"Sat.","St. Louis",2,"Anaheim",1,"OT",19593
03/16/13,"Sat.","Los Angeles",5,"San Jose",2,,18118
03/16/13,"Sat.","Toronto",4,"Winnipeg",5,"SO",19401
03/16/13,"Sat.","Boston",4,"Washington",1,,17565
03/17/13,"Sun.","Edmonton",3,"Nashville",2,,16839
03/17/13,"Sun.","Washington",5,"Buffalo",3,,18506
