"Game Date","DOW","Home Team","Score","Away Team","Score",".","Att."
11/23/11,"Wed.","Colorado",0,"Vancouver",3,,15538
11/23/11,"Wed.","Phoenix",4,"Anaheim",2,,9124
11/23/11,"Wed.","Dallas",3,"Los Angeles",2,"OT",11779
11/23/11,"Wed.","Minnesota",3,"Nashville",2,,16981
11/23/11,"Wed.","Florida",2,"NY Rangers",1,,17461
11/23/11,"Wed.","Detroit",5,"Calgary",3,,20066
11/23/11,"Wed.","Carolina",3,"Montreal",4,"SO",14862
11/23/11,"Wed.","Washington",4,"Winnipeg",3,"OT",18506
11/23/11,"Wed.","Pittsburgh",2,"St. Louis",3,"OT",18583
11/23/11,"Wed.","NY Islanders",3,"Philadelphia",4,"OT",11086
11/23/11,"Wed.","New Jersey",2,"Columbus",1,"SO",15585
11/23/11,"Wed.","Buffalo",3,"Boston",4,"SO",18690
11/25/11,"Fri.","Phoenix",0,"Vancouver",5,,14569
11/25/11,"Fri.","Dallas",3,"Toronto",4,"SO",18532
11/25/11,"Fri.","St. Louis",2,"Calgary",0,,19150
11/25/11,"Fri.","Florida",1,"Tampa Bay",2,"OT",17380
11/25/11,"Fri.","Columbus",5,"Buffalo",1,,16705
11/25/11,"Fri.","Carolina",1,"Winnipeg",3,,15718
11/25/11,"Fri.","Pittsburgh",6,"Ottawa",3,,18610
11/25/11,"Fri.","Anaheim",5,"Chicago",6,,17174
11/25/11,"Fri.","Washington",3,"NY Rangers",6,,18506
11/25/11,"Fri.","Minnesota",2,"Edmonton",5,,18092
11/25/11,"Fri.","Philadelphia",3,"Montreal",1,,19991
11/25/11,"Fri.","NY Islanders",0,"New Jersey",1,,15358
11/25/11,"Fri.","Boston",2,"Detroit",3,"SO",17565
11/26/11,"Sat.","Los Angeles",1,"Chicago",2,,18118
11/26/11,"Sat.","San Jose",2,"Vancouver",3,,17562
11/26/11,"Sat.","Phoenix",3,"Dallas",0,,10036
11/26/11,"Sat.","Detroit",4,"Nashville",1,,20066
11/26/11,"Sat.","Tampa Bay",5,"Florida",1,,17841
11/26/11,"Sat.","Montreal",3,"Pittsburgh",4,"OT",21273
11/26/11,"Sat.","Buffalo",5,"Washington",1,,18690
11/26/11,"Sat.","Boston",4,"Winnipeg",2,,17565
11/26/11,"Sat.","Colorado",5,"Edmonton",2,,17684
11/26/11,"Sat.","NY Rangers",2,"Philadelphia",0,,18200
11/26/11,"Sat.","New Jersey",2,"NY Islanders",3,,16014
11/27/11,"Sun.","Anaheim",2,"Toronto",5,,13685
11/27/11,"Sun.","Minnesota",2,"Calgary",5,,16864
11/27/11,"Sun.","Columbus",1,"St. Louis",2,,14151
11/27/11,"Sun.","Ottawa",4,"Carolina",3,,19656
11/28/11,"Mon.","Los Angeles",2,"San Jose",0,,18118
11/28/11,"Mon.","Edmonton",1,"Nashville",2,,16839
11/28/11,"Mon.","Colorado",1,"Dallas",3,,12015
11/28/11,"Mon.","Minnesota",3,"Tampa Bay",1,,16628
11/29/11,"Tue.","Vancouver",4,"Columbus",1,,18890
11/29/11,"Tue.","Calgary",1,"Nashville",0,,19289
11/29/11,"Tue.","Chicago",1,"Phoenix",4,,21183
11/29/11,"Tue.","Winnipeg",4,"Ottawa",6,,15004
11/29/11,"Tue.","NY Rangers",4,"Pittsburgh",3,,18200
11/29/11,"Tue.","Carolina",1,"Florida",3,,13065
11/29/11,"Tue.","Washington",1,"St. Louis",2,,18506
11/29/11,"Tue.","Buffalo",1,"NY Islanders",2,,18690
11/30/11,"Wed.","Anaheim",4,"Montreal",1,,13237
11/30/11,"Wed.","Edmonton",2,"Minnesota",3,"SO",16839
11/30/11,"Wed.","Colorado",6,"New Jersey",1,,14251
11/30/11,"Wed.","Detroit",4,"Tampa Bay",2,,20066
11/30/11,"Wed.","Toronto",3,"Boston",6,,19643
12/01/11,"Thu.","San Jose",4,"Montreal",3,"SO",17562
12/01/11,"Thu.","Los Angeles",2,"Florida",1,,17720
12/01/11,"Thu.","Vancouver",5,"Nashville",6,,18890
12/01/11,"Thu.","Calgary",3,"Columbus",4,"SO",19289
12/01/11,"Thu.","Dallas",3,"Ottawa",2,,10490
12/01/11,"Thu.","Winnipeg",1,"Phoenix",0,,15004
12/01/11,"Thu.","Carolina",3,"NY Rangers",5,,12566
12/01/11,"Thu.","Washington",1,"Pittsburgh",2,,18506
